,USstate,year,month,nTweets_x,nTweets_y,misogyny_proportion
320,az,2018,9,112815.0,3.0,2.6592208482914504e-05
321,az,2018,10,115317.0,5.0,4.3358741555885085e-05
322,az,2018,11,102194.33333333333,4.333333333333333,4.207255800978654e-05
323,az,2018,12,89071.66666666667,3.666666666666667,4.078637446368798e-05
324,az,2019,1,75949.0,3.0,3.9500190917589434e-05
325,az,2019,2,76311.0,2.0,2.6271295881368505e-05
326,az,2019,3,76673.0,1.0,1.3042400845147575e-05
327,az,2019,4,92822.0,4.0,4.309323220788175e-05
328,az,2019,5,96215.0,1.0,1.0393389804084602e-05
329,az,2019,6,78427.0,3.0,3.825213255639002e-05
330,az,2019,7,108727.0,3.0,2.759204245495599e-05
331,az,2019,8,105556.0,3.0,2.842093296449278e-05
332,az,2019,9,101313.66666666667,2.7777777777777777,2.6912196030280945e-05
333,az,2019,10,97071.33333333333,2.5555555555555554,2.540345909606911e-05
334,az,2019,11,92829.0,2.3333333333333335,2.3894722161857276e-05
335,az,2019,12,88586.66666666667,2.111111111111111,2.2385985227645442e-05
336,az,2020,1,84344.33333333334,1.8888888888888888,2.0877248293433608e-05
337,az,2020,2,80102.0,1.6666666666666667,1.9368511359221773e-05
338,az,2020,3,75859.66666666667,1.4444444444444446,1.785977442500994e-05
339,az,2020,4,71617.33333333334,1.2222222222222223,1.6351037490798104e-05
340,az,2020,5,67375.0,1.0,1.4842300556586271e-05
341,az,2020,6,61949.0,1.0,1.6142310610340764e-05
342,az,2020,7,82166.33333333333,1.6666666666666665,1.8918080728750925e-05
343,az,2020,8,102383.66666666666,2.333333333333333,2.1693850847161082e-05
344,az,2020,9,122601.0,3.0,2.4469620965571242e-05
345,az,2020,10,123727.0,2.3333333333333335,1.8959024279822824e-05
346,az,2020,11,124853.0,1.6666666666666667,1.3448427594074407e-05
347,az,2020,12,125979.0,1.0,7.93783090832599e-06
348,az,2021,1,106175.5,1.0,1.1299251509053752e-05
349,az,2021,2,86372.0,1.0,1.4660672109781515e-05
350,az,2021,3,66568.5,1.0,1.8022092710509278e-05
351,az,2021,4,46765.0,1.0,2.1383513311237037e-05
352,az,2021,5,47029.0,1.0,2.1264145804118296e-05
353,az,2021,6,47293.0,1.0,2.1144778296999554e-05
354,az,2021,7,41641.57142857143,1.0,3.6597798367371476e-05
355,az,2021,8,35990.142857142855,1.0,5.20508184377434e-05
356,az,2021,9,30338.714285714286,1.0,6.750383850811533e-05
357,az,2021,10,24687.285714285714,1.0,8.295685857848725e-05
358,az,2021,11,19035.85714285714,1.0,9.840987864885917e-05
359,az,2021,12,13384.428571428572,1.0,0.00011386289871923109
360,ar,2012,1,7733.0,1.0,0.000129315918789603
361,ar,2012,2,23710.0,1.0,4.2176296921130326e-05
362,ar,2012,3,24605.0,1.0,4.06421459053038e-05
363,ar,2012,4,17118.0,2.0,0.00011683607898118939
364,ar,2012,5,16436.0,2.0,0.00012168410805548795
365,ar,2012,6,37029.0,1.0,2.7005860271678956e-05
366,ar,2012,7,53654.0,2.0,3.7275878778842214e-05
367,ar,2012,8,50069.0,3.0,5.991731410653298e-05
368,ar,2012,9,49810.0,2.3333333333333335,4.6707298641283556e-05
369,ar,2012,10,49551.0,1.6666666666666667,3.349728317603413e-05
370,ar,2012,11,49292.0,1.0,2.028726771078471e-05
371,ar,2012,12,41350.0,2.0,4.8367593712212815e-05
372,ar,2013,1,42843.0,2.0,4.679189235690649e-05
373,ar,2013,2,44336.0,2.0,4.521619100160016e-05
374,ar,2013,3,45829.0,2.0,4.364048964629383e-05
375,ar,2013,4,32004.0,1.0,3.124609423822022e-05
376,ar,2013,5,34047.0,1.0,2.957206464367786e-05
377,ar,2013,6,36090.0,1.0,2.7898035049135496e-05
378,ar,2013,7,38133.0,1.0,2.6224005454593135e-05
379,ar,2013,8,39738.0,1.0,2.516482963410338e-05
380,ar,2013,9,35036.0,1.0,2.854207101267268e-05
381,ar,2013,10,34719.0,1.0,2.8805074225015487e-05
382,ar,2013,11,34402.0,1.0,2.9068077437358294e-05
383,ar,2013,12,36483.857142857145,1.0,2.7832435076110946e-05
384,ar,2014,1,38565.71428571428,1.0,2.6596792714863597e-05
385,ar,2014,2,40647.57142857143,1.0,2.536115035361625e-05
386,ar,2014,3,42729.42857142857,1.0,2.4125507992368897e-05
387,ar,2014,4,44811.28571428571,1.0,2.288986563112155e-05
388,ar,2014,5,46893.142857142855,1.0,2.16542232698742e-05
389,ar,2014,6,48975.0,1.0,2.0418580908626852e-05
390,ar,2014,7,45911.3,1.2,3.473619495212996e-05
391,ar,2014,8,42847.6,1.4,4.905380899563308e-05
392,ar,2014,9,39783.9,1.6,6.337142303913619e-05
393,ar,2014,10,36720.2,1.8,7.76890370826393e-05
394,ar,2014,11,33656.5,2.0,9.200665112614242e-05
395,ar,2014,12,30592.800000000003,2.2,0.00010632426516964553
396,ar,2015,1,27529.100000000002,2.4000000000000004,0.00012064187921314863
397,ar,2015,2,24465.4,2.6,0.00013495949325665176
398,ar,2015,3,21401.7,2.8,0.00014927710730015486
399,ar,2015,4,18338.0,3.0,0.000163594721343658
400,ar,2015,5,20270.0,2.0,0.00010431785432104979
401,ar,2015,6,22202.0,1.0,4.504098729844158e-05
402,ar,2015,7,21970.75,1.0,4.553051722807285e-05
403,ar,2015,8,21739.5,1.0,4.602004715770413e-05
404,ar,2015,9,21508.25,1.0,4.650957708733541e-05
405,ar,2015,10,21277.0,1.0,4.699910701696668e-05
406,ar,2015,11,21529.2,1.0,4.647318746821883e-05
407,ar,2015,12,21781.4,1.0,4.5947267919470984e-05
408,ar,2016,1,22033.6,1.0,4.5421348370723136e-05
409,ar,2016,2,22285.8,1.0,4.489542882197529e-05
410,ar,2016,3,22538.0,1.0,4.436950927322744e-05
411,ar,2016,4,26247.0,1.0,3.8875901652236634e-05
412,ar,2016,5,29956.0,1.0,3.338229403124583e-05
413,ar,2016,6,28429.666666666668,1.0,3.539011639492258e-05
414,ar,2016,7,26903.333333333332,1.0,3.739793875859933e-05
415,ar,2016,8,25377.0,1.0,3.940576112227608e-05
416,ar,2016,9,34684.0,1.0,2.8831737977165263e-05
417,ar,2016,10,27848.0,1.0,3.82117951260279e-05
418,ar,2016,11,21012.0,1.0,4.759185227489054e-05
419,ar,2016,12,24424.75,1.25,5.011849180836621e-05
420,ar,2017,1,27837.5,1.5,5.2645131341841884e-05
421,ar,2017,2,31250.25,1.75,5.517177087531756e-05
422,ar,2017,3,34663.0,2.0,5.7698410408793236e-05
423,ar,2017,4,25818.0,1.0,3.873266713145867e-05
424,ar,2017,5,24954.0,1.0,4.0783974254272227e-05
425,ar,2017,6,24090.0,1.0,4.283528137708578e-05
426,ar,2017,7,23226.0,1.0,4.488658849989933e-05
427,ar,2017,8,22362.0,1.0,4.693789562271288e-05
428,ar,2017,9,21498.0,1.0,4.898920274552644e-05
429,ar,2017,10,20634.0,1.0,5.1040509868339985e-05
430,ar,2017,11,19770.0,1.0,5.309181699115354e-05
431,ar,2017,12,18906.0,1.0,5.5143124113967093e-05
432,ar,2018,1,18042.0,1.0,5.719443123678065e-05
433,ar,2018,2,17178.0,1.0,5.92457383595942e-05
434,ar,2018,3,16314.0,1.0,6.129704548240775e-05
435,ar,2018,4,19596.0,1.0,5.1030822616860586e-05
436,ar,2018,5,19991.333333333332,1.0,5.020197359435173e-05
437,ar,2018,6,20386.666666666668,1.0,4.9373124571842875e-05
438,ar,2018,7,20782.0,1.0,4.8544275549334016e-05
439,ar,2018,8,21177.333333333332,1.0,4.7715426526825164e-05
440,ar,2018,9,21572.666666666668,1.0,4.6886577504316305e-05
441,ar,2018,10,21968.0,1.0,4.605772848180745e-05
