cbsa,YEAR,alcohol
22300,2013,5
22340,2013,4
22380,2013,9
22420,2013,82
22500,2013,22
22520,2013,21
22540,2013,5
22580,2013,2
22620,2013,5
22660,2013,70
22700,2013,2
22780,2013,1
22800,2013,NA
22820,2013,7
22840,2013,NA
22860,2013,2
22900,2013,24
23060,2013,42
23140,2013,6
23180,2013,8
23240,2013,7
23300,2013,5
23340,2013,4
23380,2013,3
23420,2013,91
23460,2013,8
23500,2013,3
23540,2013,25
23580,2013,18
23620,2013,4
23660,2013,3
23700,2013,7
23780,2013,16
23820,2013,8
23860,2013,6
23900,2013,7
23940,2013,8
23980,2013,NA
24020,2013,24
24060,2013,30
24100,2013,9
24140,2013,5
24220,2013,15
24260,2013,2
24300,2013,34
24330,2013,NA
24340,2013,101
24380,2013,2
24420,2013,4
24460,2013,7
24500,2013,7
24540,2013,58
24580,2013,17
24620,2013,6
24640,2013,11
24660,2013,42
24700,2013,3
24740,2013,5
24780,2013,12
24820,2013,5
24860,2013,59
24900,2013,5
24940,2013,6
24980,2013,2
25060,2013,55
25100,2013,3
25180,2013,40
25200,2013,3
25220,2013,1
25260,2013,6
25300,2013,NA
25420,2013,76
25460,2013,8
25500,2013,7
25540,2013,303
25580,2013,2
25620,2013,28
25700,2013,10
25720,2013,1
25740,2013,6
25760,2013,2
25780,2013,2
25820,2013,1
25840,2013,5
25860,2013,16
25880,2013,2
25900,2013,3
25940,2013,23
25980,2013,3
26020,2013,3
26090,2013,15
26140,2013,11
26220,2013,3
26260,2013,NA
26300,2013,28
26340,2013,5
26380,2013,1
26420,2013,382
26460,2013,15
26500,2013,8
26540,2013,5
26580,2013,21
26620,2013,35
26660,2013,7
26700,2013,NA
26740,2013,10
26780,2013,8
26820,2013,5
26860,2013,13
26900,2013,248
26940,2013,3
26960,2013,6
26980,2013,8
27020,2013,2
27060,2013,13
27100,2013,25
27140,2013,53
27160,2013,3
27180,2013,13
27220,2013,4
27260,2013,96
27300,2013,2
27340,2013,7
27380,2013,5
27420,2013,3
27460,2013,16
27500,2013,10
27540,2013,8
27600,2013,3
27620,2013,8
27660,2013,NA
27700,2013,5
27740,2013,17
27780,2013,36
27860,2013,6
27900,2013,18
27920,2013,6
27940,2013,5
27980,2013,6
28020,2013,47
28060,2013,9
28100,2013,12
28140,2013,226
28180,2013,3
28260,2013,4
28300,2013,9
28340,2013,6
28380,2013,3
28420,2013,13
28500,2013,8
28540,2013,2
28580,2013,12
28620,2013,10
28660,2013,31
28700,2013,23
28740,2013,39
28780,2013,2
28820,2013,3
28860,2013,2
28900,2013,2
28940,2013,74
29020,2013,14
29060,2013,4
29100,2013,6
29180,2013,9
29200,2013,17
29260,2013,NA
29300,2013,8
29340,2013,5
29380,2013,3
29420,2013,4
29460,2013,34
29500,2013,2
29540,2013,45
29620,2013,37
29660,2013,4
29700,2013,18
29740,2013,5
29780,2013,1
29820,2013,74
29860,2013,10
29900,2013,1
29940,2013,29
29980,2013,3
30020,2013,12
30060,2013,5
30140,2013,14
30220,2013,1
30260,2013,7
30280,2013,3
30300,2013,2
30340,2013,4
30380,2013,6
30420,2013,5
30460,2013,48
30580,2013,4
