,year,USstate,cost_of_living_index,month
644,2015,tx,91.34324042087054,9
645,2015,tx,91.14399217165958,10
646,2015,tx,90.66192306921161,11
647,2015,tx,89.86,12
648,2016,tx,88.71763761644816,1
649,2016,tx,87.2800416347801,2
650,2016,tx,85.6088655371699,3
651,2016,tx,83.76576280579154,4
652,2016,tx,81.81238692281912,5
653,2016,tx,79.81039137042671,6
654,2016,tx,77.82142963078839,7
655,2016,tx,75.9071551860782,8
656,2016,tx,74.1292215184702,9
657,2016,tx,72.54928211013845,10
658,2016,tx,71.22899044325703,11
659,2016,tx,70.23,12
660,2017,tx,69.59640322224341,1
661,2017,tx,69.30204839067122,2
662,2017,tx,69.30322274566939,3
663,2017,tx,69.55621352762383,4
664,2017,tx,70.01730797692052,5
665,2017,tx,70.64279333394542,6
666,2017,tx,71.38895683908444,7
667,2017,tx,72.2120857327236,8
668,2017,tx,73.06846725524875,9
669,2017,tx,73.91438864704591,10
670,2017,tx,74.70613714850101,11
671,2017,tx,75.4,12
672,2018,tx,75.96102611494857,1
673,2018,tx,76.38931109883134,2
674,2018,tx,76.6937122301527,3
675,2018,tx,76.88308678741694,4
676,2018,tx,76.9662920491285,5
677,2018,tx,76.9521852937917,6
678,2018,tx,76.84962379991093,7
679,2018,tx,76.66746484599052,8
680,2018,tx,76.41456571053489,9
681,2018,tx,76.09978367204832,10
682,2018,tx,75.73197600903524,11
683,2018,tx,75.32,12
684,2019,tx,74.87258838277714,1
685,2019,tx,74.39797573252197,2
686,2019,tx,73.90427208371996,3
687,2019,tx,73.39958747085662,4
688,2019,tx,72.89203192841741,5
689,2019,tx,72.38971549088784,6
690,2019,tx,71.9007481927534,7
691,2019,tx,71.43324006849954,8
692,2019,tx,70.99530115261182,9
693,2019,tx,70.59504147957563,10
694,2019,tx,70.24057108387653,11
695,2019,tx,69.94,12
696,2020,tx,69.6982789187577,1
697,2020,tx,69.50772115626602,2
698,2020,tx,69.35748068496753,3
699,2020,tx,69.23671147730481,4
700,2020,tx,69.13456750572041,5
701,2020,tx,69.04020274265697,6
702,2020,tx,68.94277116055704,7
703,2020,tx,68.83142673186317,8
704,2020,tx,68.69532342901798,9
705,2020,tx,68.52361522446398,10
706,2020,tx,68.3054560906438,11
707,2020,tx,68.03,12
708,2021,tx,67.69350890515506,1
709,2021,tx,67.32067667945108,2
710,2021,tx,66.94330517641005,3
711,2021,tx,66.59319624955388,4
712,2021,tx,66.30215175240464,5
713,2021,tx,66.10197353848429,6
714,2021,tx,66.0244634613148,7
715,2021,tx,66.10142337441819,8
716,2021,tx,66.36465513131641,9
717,2021,tx,66.84596058553146,10
718,2021,tx,67.57714159058533,11
719,2021,tx,68.59,12
720,2012,mn,69.90243083099242,1
721,2012,mn,71.47670175555935,2
722,2012,mn,73.26117360939246,3
723,2012,mn,75.20420722818346,4
724,2012,mn,77.25416344762405,5
725,2012,mn,79.35940310340595,6
726,2012,mn,81.46828703122085,7
727,2012,mn,83.52917606676046,8
728,2012,mn,85.4904310457165,9
729,2012,mn,87.30041280378062,10
730,2012,mn,88.90748217664455,11
731,2012,mn,90.26,12
732,2013,mn,91.32008953013454,1
733,2013,mn,92.10492370571903,2
734,2013,mn,92.64543788602026,3
735,2013,mn,92.97256743030499,4
736,2013,mn,93.11724769783997,5
737,2013,mn,93.11041404789198,6
738,2013,mn,92.98300183972776,7
739,2013,mn,92.7659464326141,8
740,2013,mn,92.49018318581773,9
741,2013,mn,92.18664745860539,10
742,2013,mn,91.88627461024392,11
743,2013,mn,91.62,12
744,2014,mn,91.41114044661765,1
745,2014,mn,91.25253860674982,2
746,2014,mn,91.12941859652662,3
747,2014,mn,91.02700453207817,4
748,2014,mn,90.93052052953465,5
749,2014,mn,90.8251907050262,6
750,2014,mn,90.69623917468296,7
751,2014,mn,90.52889005463508,8
752,2014,mn,90.30836746101272,9
753,2014,mn,90.01989550994597,10
754,2014,mn,89.648698317565,11
755,2014,mn,89.18,12
756,2015,mn,88.60480470191334,1
757,2015,mn,87.93723668209655,2
758,2015,mn,87.19720022787338,3
759,2015,mn,86.40459962656757,4
760,2015,mn,85.57933916550294,5
761,2015,mn,84.74132313200326,6
762,2015,mn,83.91045581339229,7
763,2015,mn,83.10664149699379,8
764,2015,mn,82.34978447013154,9
765,2015,mn,81.65978902012931,10
766,2015,mn,81.05655943431087,11
767,2015,mn,80.56,12
768,2016,mn,80.18474491239563,1
769,2016,mn,79.92434799819739,2
770,2016,mn,79.76709299198001,3
771,2016,mn,79.70126362831826,4
772,2016,mn,79.71514364178694,5
773,2016,mn,79.7970167669608,6
774,2016,mn,79.93516673841462,7
775,2016,mn,80.11787729072316,8
776,2016,mn,80.33343215846122,9
777,2016,mn,80.5701150762035,10
778,2016,mn,80.81620977852484,11
779,2016,mn,81.06,12
780,2017,mn,81.29172490776338,1
781,2017,mn,81.50944539918805,2
782,2017,mn,81.71317780420672,3
783,2017,mn,81.90293845275204,4
784,2017,mn,82.07874367475675,5
785,2017,mn,82.24060980015359,6
786,2017,mn,82.38855315887521,7
787,2017,mn,82.52259008085436,8
788,2017,mn,82.6427368960237,9
789,2017,mn,82.74900993431595,10
790,2017,mn,82.84142552566381,11
791,2017,mn,82.92,12
792,2018,mn,82.98398045655082,1
793,2018,mn,83.0295370717171,2
794,2018,mn,83.05207079119324,3
795,2018,mn,83.04698256067363,4
796,2018,mn,83.00967332585269,5
797,2018,mn,82.93554403242486,6
798,2018,mn,82.81999562608453,7
799,2018,mn,82.65842905252612,8
800,2018,mn,82.44624525744406,9
801,2018,mn,82.17884518653274,10
802,2018,mn,81.85162978548657,11
803,2018,mn,81.46,12
804,2019,mn,81.0024053493666,1
